epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4474.82,0.99222,2.87685,1.22662,0.59232,0.57477,0.5198,0.39199,0.89102,2.08738,1.11881,0.000174063,0.000174063,0.000174063
2,67423.3,0.92359,1.47072,1.12313,0.65236,0.60893,0.61516,0.42133,0.97082,1.73379,1.1806,0.000342478,0.000342478,0.000342478
3,79112.9,0.92647,1.30192,1.15413,0.60013,0.5926,0.60415,0.42161,0.89787,1.60011,1.13011,0.00050395,0.00050395,0.00050395
4,86430.2,0.90833,1.18623,1.13712,0.59651,0.63928,0.62972,0.46893,0.9203,1.45714,1.14259,0.000494756,0.000494756,0.000494756
5,95003.6,0.89278,1.16047,1.11829,0.56929,0.68374,0.62603,0.47325,0.85665,1.50506,1.13462,0.000484341,0.000484341,0.000484341
6,101061,0.87572,1.0493,1.12075,0.60332,0.68823,0.70959,0.53271,0.86143,1.28538,1.1191,0.000473926,0.000473926,0.000473926
7,102590,0.85719,1.03363,1.10258,0.6114,0.69961,0.71395,0.55566,0.83805,1.31985,1.10252,0.000463511,0.000463511,0.000463511
8,105730,0.83769,0.94495,1.10135,0.59327,0.71841,0.67005,0.52833,0.83438,1.27606,1.10778,0.000453096,0.000453096,0.000453096
9,108668,0.82001,0.91636,1.09071,0.62323,0.79434,0.75054,0.5707,0.79098,1.26141,1.06361,0.000442682,0.000442682,0.000442682
10,110206,0.81234,0.90703,1.07304,0.5768,0.75488,0.73958,0.58391,0.80059,1.12458,1.09768,0.000432267,0.000432267,0.000432267
11,112325,0.81546,0.88326,1.06994,0.48284,0.82825,0.73554,0.54825,0.8231,1.19911,1.093,0.000421852,0.000421852,0.000421852
12,113873,0.80559,0.84044,1.07048,0.69132,0.8084,0.76646,0.57909,0.75681,1.02651,1.08848,0.000411437,0.000411437,0.000411437
13,115425,0.78561,0.82268,1.06702,0.66199,0.71966,0.74154,0.58542,0.75891,1.13021,1.0652,0.000401022,0.000401022,0.000401022
14,118770,0.78132,0.81465,1.06673,0.71394,0.69015,0.70564,0.55814,0.81574,1.21775,1.10874,0.000390608,0.000390608,0.000390608
15,120297,0.77041,0.78933,1.05642,0.67407,0.74772,0.7778,0.61074,0.76938,1.12529,1.09125,0.000380193,0.000380193,0.000380193
16,122240,0.76336,0.78284,1.05861,0.64575,0.69865,0.7118,0.55265,0.75788,1.39103,1.05168,0.000369778,0.000369778,0.000369778
17,123789,0.74522,0.72779,1.05029,0.66463,0.76962,0.76965,0.61504,0.73035,1.17573,1.06531,0.000359363,0.000359363,0.000359363
18,125326,0.73499,0.73742,1.05503,0.71493,0.75312,0.77082,0.60684,0.79047,1.07286,1.08106,0.000348948,0.000348948,0.000348948
19,131776,0.73729,0.7099,1.03634,0.69117,0.78075,0.79278,0.62767,0.79878,0.98927,1.0943,0.000338534,0.000338534,0.000338534
20,133303,0.74079,0.70298,1.03997,0.64827,0.82989,0.8076,0.65207,0.7242,0.99278,1.04563,0.000328119,0.000328119,0.000328119
21,135846,0.72172,0.69184,1.03323,0.72058,0.80969,0.81305,0.6529,0.77158,0.9924,1.06613,0.000317704,0.000317704,0.000317704
22,137854,0.7367,0.69008,1.03519,0.76588,0.80954,0.81539,0.6513,0.77327,1.03078,1.0429,0.000307289,0.000307289,0.000307289
23,139419,0.71621,0.63058,1.02332,0.78125,0.78027,0.81674,0.65985,0.74814,1.09214,1.05343,0.000296874,0.000296874,0.000296874
24,140808,0.6969,0.61827,1.0154,0.74161,0.76585,0.81894,0.64818,0.74707,1.15287,1.06679,0.00028646,0.00028646,0.00028646
25,144103,0.68911,0.60048,1.01215,0.76042,0.82536,0.83468,0.66899,0.74606,0.96968,1.06643,0.000276045,0.000276045,0.000276045
26,147119,0.68772,0.61139,1.0273,0.76389,0.8113,0.834,0.67674,0.76379,0.91606,1.06352,0.00026563,0.00026563,0.00026563
27,149216,0.68369,0.59778,1.02093,0.79377,0.77879,0.84793,0.69927,0.72435,0.95865,1.0558,0.000255215,0.000255215,0.000255215
28,150733,0.66625,0.58996,1.0109,0.75399,0.84571,0.80471,0.6597,0.71938,0.95777,1.04776,0.0002448,0.0002448,0.0002448
29,153110,0.66756,0.56387,1.01256,0.73661,0.82794,0.82996,0.68407,0.74776,1.08672,1.06607,0.000234386,0.000234386,0.000234386
30,155389,0.66026,0.54867,0.99887,0.77796,0.82508,0.84916,0.69122,0.74096,1.09923,1.05613,0.000223971,0.000223971,0.000223971
31,157170,0.65826,0.55387,1.00817,0.80045,0.81473,0.81908,0.66767,0.73667,1.06835,1.05553,0.000213556,0.000213556,0.000213556
32,158658,0.64791,0.54532,0.99685,0.77553,0.85007,0.8593,0.70403,0.71621,1.15951,1.06202,0.000203141,0.000203141,0.000203141
33,160192,0.64752,0.52745,0.99173,0.82651,0.83132,0.8684,0.71071,0.73111,0.91478,1.04544,0.000192726,0.000192726,0.000192726
34,161700,0.6395,0.52332,0.98597,0.77655,0.81621,0.8327,0.6907,0.72187,0.96637,1.02777,0.000182312,0.000182312,0.000182312
35,163234,0.61588,0.5051,0.98469,0.77224,0.79994,0.8275,0.67572,0.72235,1.19052,1.04534,0.000171897,0.000171897,0.000171897
36,164758,0.62371,0.50371,0.98605,0.79445,0.79286,0.82935,0.69271,0.70711,1.07839,1.04398,0.000161482,0.000161482,0.000161482
37,166287,0.59666,0.48097,0.97084,0.77811,0.81859,0.83511,0.69422,0.70722,1.02032,1.04598,0.000151067,0.000151067,0.000151067
38,167813,0.59923,0.473,0.97478,0.77169,0.80231,0.84377,0.69687,0.70023,1.0841,1.03586,0.000140652,0.000140652,0.000140652
39,169322,0.58989,0.48346,0.97293,0.78443,0.87221,0.84329,0.69566,0.70759,1.02569,1.03708,0.000130238,0.000130238,0.000130238
40,170873,0.59518,0.47064,0.97436,0.781,0.86706,0.85794,0.71535,0.69416,1.0432,1.05565,0.000119823,0.000119823,0.000119823
41,172423,0.55947,0.41475,0.93584,0.77092,0.80249,0.83279,0.69793,0.70711,1.298,1.05267,0.000109408,0.000109408,0.000109408
42,174093,0.54807,0.40007,0.93115,0.74957,0.89858,0.86741,0.71262,0.70564,1.05053,1.05929,9.89932e-05,9.89932e-05,9.89932e-05
43,175763,0.53479,0.38064,0.92104,0.77904,0.86096,0.84096,0.69933,0.71419,1.10012,1.05175,8.85784e-05,8.85784e-05,8.85784e-05
44,177395,0.52196,0.38112,0.91402,0.78157,0.8855,0.85151,0.70836,0.70789,1.10935,1.0537,7.81636e-05,7.81636e-05,7.81636e-05
45,179040,0.51747,0.3775,0.92558,0.81276,0.83124,0.85555,0.71395,0.72299,1.08621,1.06082,6.77488e-05,6.77488e-05,6.77488e-05
46,180624,0.51509,0.37106,0.9177,0.77419,0.89642,0.85302,0.71549,0.7045,1.13795,1.04398,5.7334e-05,5.7334e-05,5.7334e-05
47,182153,0.50563,0.3591,0.91063,0.7856,0.8891,0.86027,0.71911,0.69424,1.15182,1.04731,4.69192e-05,4.69192e-05,4.69192e-05
48,183672,0.49723,0.3491,0.90789,0.76058,0.89962,0.85703,0.71452,0.69456,1.16606,1.04134,3.65044e-05,3.65044e-05,3.65044e-05
49,185301,0.49768,0.35035,0.90435,0.78672,0.88453,0.85307,0.71004,0.69919,1.16237,1.04627,2.60896e-05,2.60896e-05,2.60896e-05
50,186937,0.48128,0.33831,0.90125,0.78055,0.88865,0.85491,0.71477,0.69739,1.17604,1.04885,1.56748e-05,1.56748e-05,1.56748e-05
